	airplane-b	airplane-s	apartment-b	apartment-s	apple-b	apple-s	banana-b	banana-s	bar-b	bar-s	beach-b	beach-s	canary-b	canary-s	car-b	car-s	carrot-b	carrot-s	cat-b	cat-s	cathedral-b	cathedral-s	cheerfulness-b	cheerfulness-s	cherry-b	cherry-s	comb-b	comb-s	crow-b	crow-s	democracy-b	democracy-s	dog-b	dog-s	eggplant-b	eggplant-s	freedom-b	freedom-s	friendship-b	friendship-s	giraffe-b	giraffe-s	hammer-b	hammer-s	horse-b	horse-s	jealousy-b	jealousy-s	justice-b	justice-s	kiwi-b	kiwi-s	knife-b	knife-s	lawn-b	lawn-s	lettuce-b	lettuce-s	motorcycle-b	motorcycle-s	mountain-b	mountain-s	pain-b	pain-s	passion-b	passion-s	pencil-b	pencil-s	penguin-b	penguin-s	pineapple-b	pineapple-s	potato-b	potato-s	religion-b	religion-s	restaurant-b	restaurant-s	screwdriver-b	screwdriver-s	sea-b	sea-s	seagull-b	seagull-s	ship-b	ship-s	shop-b	shop-s	swan-b	swan-s	to_believe-b	to_believe-s	to_catch_sight_of-b	to_catch_sight_of-s	to_doubt-b	to_doubt-s	to_eavesdrop-b	to_eavesdrop-s	to_fear-b	to_fear-s	to_feel-b	to_feel-s	to_glimpse-b	to_glimpse-s	to_grab-b	to_grab-s	to_hate-b	to_hate-s	to_hear-b	to_hear-s	to_listen-b	to_listen-s	to_massage-b	to_massage-s	to_peep-b	to_peep-s	to_peer_at-b	to_peer_at-s	to_shout-b	to_shout-s	to_sing-b	to_sing-s	to_spot-b	to_spot-s	to_stroke-b	to_stroke-s	to_think-b	to_think-s	to_touch_lightly-b	to_touch_lightly-s	tomato-b	tomato-s	train-b	train-s	woods-b	woods-s	worry-b	worry-s	zebra-b	zebra-s
cat-b	0.03190	0.05238	0.11840	0.10165	0.00000	0.01762	0.01208	0.01507	0.03650	0.05557	0.02367	0.01964	0.18697	0.29778	0.03371	0.02284	0.01186	0.02109	1.00000	0.85354	0.02821	0.01755	0.01901	0.02286	0.02851	0.02786	0.01659	0.07326	0.23997	0.20391	0.00862	0.01226	0.71421	0.77627	0.00000	0.00313	0.05172	0.11686	0.01347	0.06723	0.43019	0.45002	0.05659	0.06030	0.55042	0.53617	0.01022	0.05187	0.02667	0.03028	0.01383	0.03153	0.04867	0.05573	0.01261	0.02429	0.00546	0.00461	0.01247	0.02995	0.01157	0.06815	0.00980	0.00648	0.01297	0.00000	0.00664	0.00508	0.48045	0.39794	0.00383	0.00276	0.01036	0.00901	0.01413	0.02367	0.08856	0.07244	0.02830	0.03889	0.03403	0.10362	0.14873	0.12754	0.03354	0.03342	0.02847	0.02315	0.33422	0.27087	0.00533	0.00517	0.00000	0.00000	0.00000	0.00000	0.00903	0.01643	0.00593	0.10503	0.04271	0.02287	0.00000	0.00000	0.00000	0.04771	0.00479	0.06973	0.02299	0.08178	0.02452	0.01881	0.00494	0.00000	0.00000	0.00000	0.00000	0.00000	0.05443	0.00620	0.02857	0.01109	0.00483	0.05986	0.28918	0.30676	0.02206	0.02221	0.04107	0.02427	0.01489	0.02751	0.01607	0.01181	0.27759	0.20815	0.00000	0.00440	0.52764	0.36534
cat-s	0.05223	0.06298	0.14204	0.14978	0.00000	0.01669	0.00461	0.03016	0.01331	0.02776	0.01739	0.03055	0.19377	0.28825	0.04427	0.03351	0.01255	0.02778	0.85354	1.00000	0.01617	0.01341	0.02489	0.02298	0.02443	0.02019	0.01408	0.07041	0.24782	0.23404	0.02416	0.03185	0.67046	0.82524	0.00471	0.01791	0.03387	0.13262	0.04630	0.09693	0.44689	0.48836	0.03637	0.03913	0.48269	0.58450	0.02342	0.07513	0.06740	0.05639	0.02114	0.05834	0.02526	0.00591	0.01766	0.02375	0.00000	0.00881	0.02619	0.02497	0.00884	0.04463	0.02434	0.01732	0.02181	0.02480	0.01522	0.01813	0.50695	0.47283	0.00293	0.00632	0.00792	0.00918	0.00360	0.02813	0.01480	0.01064	0.03539	0.04513	0.02442	0.10000	0.15052	0.18400	0.03075	0.04378	0.02175	0.01895	0.33234	0.32009	0.01323	0.02962	0.00731	0.03091	0.03531	0.03263	0.02242	0.02432	0.02040	0.11435	0.01440	0.01092	0.01787	0.02333	0.00000	0.04279	0.04121	0.09665	0.02635	0.07463	0.04684	0.03323	0.01983	0.02526	0.01215	0.02623	0.03584	0.03491	0.06049	0.01659	0.02074	0.01271	0.00554	0.08003	0.29906	0.31760	0.02046	0.02546	0.02196	0.02529	0.00853	0.02216	0.03223	0.02915	0.25481	0.22031	0.01450	0.02605	0.53750	0.45601
cathedral-b	0.03182	0.08394	0.12867	0.15773	0.01374	0.03445	0.01406	0.01670	0.12742	0.15587	0.07627	0.09796	0.00431	0.02110	0.05150	0.10739	0.00425	0.00000	0.02821	0.01617	1.00000	0.78422	0.01580	0.00000	0.00804	0.01995	0.00000	0.01467	0.05217	0.03062	0.03680	0.00000	0.04726	0.03694	0.00000	0.01819	0.01720	0.01600	0.01254	0.01514	0.04525	0.02194	0.01254	0.01509	0.04918	0.03485	0.00000	0.00000	0.00000	0.00000	0.01610	0.03750	0.02137	0.00721	0.05135	0.08480	0.00000	0.00895	0.07012	0.06655	0.17208	0.11330	0.00000	0.00000	0.00000	0.02518	0.00773	0.01775	0.00000	0.02091	0.01785	0.02886	0.00965	0.01223	0.01644	0.00612	0.17284	0.16969	0.01198	0.01844	0.05400	0.06347	0.12026	0.07911	0.10149	0.08520	0.10766	0.17317	0.03861	0.03241	0.01861	0.01203	0.00000	0.00000	0.00000	0.00000	0.01313	0.00000	0.00000	0.00917	0.03216	0.01331	0.00000	0.01316	0.00000	0.00000	0.01116	0.02318	0.01487	0.01057	0.01141	0.00000	0.00000	0.01166	0.01542	0.00000	0.02481	0.01477	0.00000	0.02647	0.00000	0.00000	0.00844	0.01625	0.01202	0.00406	0.01467	0.00000	0.01593	0.00000	0.03466	0.02423	0.02104	0.02537	0.09821	0.10591	0.00000	0.00512	0.00000	0.00689
cathedral-s	0.01980	0.06962	0.21306	0.25509	0.00000	0.01306	0.01166	0.00000	0.18831	0.23022	0.08540	0.15598	0.00643	0.02262	0.03173	0.12699	0.00634	0.00000	0.01755	0.01341	0.78422	1.00000	0.00629	0.00000	0.00000	0.00745	0.00000	0.01460	0.05498	0.02068	0.04328	0.00000	0.03477	0.03414	0.00000	0.00000	0.01284	0.01194	0.00936	0.01256	0.02252	0.00728	0.00936	0.01652	0.03793	0.02560	0.00000	0.00000	0.00000	0.00000	0.00000	0.00811	0.01702	0.01076	0.08397	0.12491	0.00000	0.01336	0.04692	0.06308	0.21593	0.12122	0.00000	0.00000	0.00601	0.01392	0.00000	0.00883	0.00000	0.01233	0.00000	0.00718	0.00720	0.00522	0.01909	0.02437	0.23399	0.24096	0.00993	0.02086	0.05494	0.07454	0.11409	0.08773	0.05957	0.07281	0.15936	0.25374	0.02277	0.03005	0.02778	0.01796	0.00000	0.00000	0.00000	0.00000	0.02614	0.00000	0.00000	0.00000	0.00582	0.00000	0.00000	0.02619	0.00000	0.00000	0.00000	0.00692	0.02959	0.00789	0.00852	0.00000	0.00573	0.01741	0.00614	0.00000	0.00988	0.02940	0.00000	0.02275	0.01655	0.00000	0.00000	0.01155	0.01077	0.00606	0.01095	0.00000	0.00951	0.00000	0.01725	0.01895	0.00698	0.02104	0.13308	0.14089	0.00000	0.00000	0.00000	0.00274
cheerfulness-b	0.12558	0.11080	0.08680	0.09542	0.00000	0.00000	0.00000	0.00000	0.13268	0.09767	0.05139	0.03394	0.05225	0.04593	0.08497	0.00737	0.00000	0.00391	0.01901	0.02489	0.01580	0.00629	1.00000	0.74862	0.00000	0.00384	0.00000	0.03176	0.00000	0.00505	0.05023	0.12030	0.09018	0.01422	0.00000	0.00000	0.23340	0.18710	0.55205	0.50867	0.00436	0.00676	0.05433	0.02876	0.08094	0.05271	0.59064	0.59986	0.30056	0.33578	0.00000	0.00000	0.03456	0.04994	0.06214	0.01045	0.00489	0.02480	0.08378	0.08296	0.07258	0.03599	0.41331	0.45699	0.52667	0.64791	0.00595	0.00000	0.00661	0.01610	0.00000	0.00000	0.00000	0.00000	0.18353	0.23510	0.07935	0.05493	0.00461	0.04744	0.04712	0.00880	0.01038	0.01131	0.08416	0.09520	0.11319	0.13112	0.03633	0.01191	0.37966	0.42376	0.30444	0.31414	0.41412	0.44708	0.19569	0.15458	0.38881	0.49058	0.18068	0.15885	0.28649	0.23101	0.16523	0.14359	0.60095	0.53688	0.13908	0.09923	0.24389	0.15484	0.10634	0.14680	0.23872	0.23495	0.25026	0.25419	0.22947	0.22651	0.31296	0.11331	0.25333	0.25342	0.25125	0.24013	0.30703	0.23327	0.27232	0.20314	0.00500	0.00600	0.07021	0.08303	0.04647	0.03391	0.56320	0.63420	0.00000	0.00318
cheerfulness-s	0.09906	0.08181	0.08740	0.07398	0.00000	0.00000	0.00000	0.00000	0.09780	0.09927	0.05529	0.03592	0.06504	0.03571	0.06650	0.00000	0.00000	0.00000	0.02286	0.02298	0.00000	0.00000	0.74862	1.00000	0.00000	0.00851	0.00000	0.01970	0.00000	0.01119	0.03423	0.10951	0.06519	0.00540	0.00000	0.00000	0.22000	0.24970	0.53566	0.50754	0.00000	0.01497	0.03744	0.01930	0.06291	0.05010	0.52943	0.60101	0.25898	0.29076	0.00000	0.00000	0.01968	0.03687	0.05130	0.00000	0.00000	0.01923	0.06062	0.06378	0.07656	0.04348	0.45376	0.46920	0.44503	0.62992	0.00000	0.00000	0.01463	0.01585	0.00000	0.00820	0.00000	0.00358	0.09813	0.20205	0.09778	0.05862	0.00000	0.03689	0.07982	0.03248	0.01150	0.01928	0.05060	0.08056	0.09464	0.11421	0.05854	0.02939	0.26499	0.26930	0.16147	0.19270	0.28688	0.34681	0.12500	0.09783	0.25087	0.38621	0.10473	0.10783	0.16717	0.15621	0.08259	0.08523	0.51535	0.49232	0.10649	0.06358	0.19858	0.11340	0.08686	0.12172	0.13575	0.15737	0.14896	0.17535	0.15912	0.15268	0.30112	0.10700	0.14533	0.16752	0.21156	0.19512	0.23828	0.22653	0.20053	0.15109	0.00000	0.01771	0.05025	0.06059	0.01211	0.01502	0.46137	0.54229	0.00000	0.00000
cherry-b	0.02144	0.04921	0.05273	0.06418	0.70795	0.64335	0.60701	0.55437	0.00639	0.03352	0.02336	0.07500	0.08709	0.09843	0.02704	0.02345	0.23027	0.14867	0.02851	0.02443	0.00804	0.00000	0.00000	0.00000	1.00000	0.88285	0.04888	0.06603	0.00000	0.02652	0.00000	0.00000	0.04153	0.04267	0.27975	0.23998	0.02528	0.00000	0.00000	0.01484	0.02495	0.03065	0.02535	0.02052	0.06236	0.00000	0.00000	0.00000	0.00000	0.00000	0.65283	0.54055	0.01728	0.05297	0.01438	0.03158	0.16345	0.17361	0.03910	0.01708	0.03959	0.02707	0.00000	0.00000	0.00000	0.00823	0.06626	0.02174	0.00000	0.03985	0.63720	0.51555	0.26056	0.20481	0.00000	0.00000	0.00000	0.00000	0.03522	0.02711	0.02646	0.04012	0.00000	0.00000	0.00000	0.03812	0.02232	0.00849	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00423	0.00000	0.00489	0.01518	0.00000	0.00000	0.01060	0.00596	0.00000	0.00000	0.00000	0.00755	0.46098	0.41152	0.00000	0.00932	0.07306	0.07708	0.00000	0.00000	0.00470	0.01671
cherry-s	0.01773	0.05343	0.06158	0.06960	0.62002	0.66540	0.47473	0.47806	0.00352	0.03678	0.03090	0.07489	0.08378	0.10109	0.02980	0.02843	0.12454	0.08588	0.02786	0.02019	0.01995	0.00745	0.00384	0.00851	0.88285	1.00000	0.04562	0.07018	0.00000	0.03455	0.00000	0.00000	0.03683	0.04009	0.19708	0.18125	0.02874	0.00486	0.00381	0.01687	0.03323	0.04222	0.03049	0.02063	0.03810	0.01008	0.00000	0.00000	0.00000	0.00535	0.53151	0.46121	0.01428	0.05035	0.04086	0.05084	0.07978	0.09676	0.03232	0.02696	0.05182	0.04647	0.00000	0.00000	0.00367	0.01530	0.07824	0.03415	0.00348	0.03859	0.51860	0.46124	0.16484	0.13109	0.00000	0.00000	0.01239	0.00000	0.02669	0.03005	0.03791	0.03934	0.00683	0.01144	0.00000	0.04220	0.02348	0.01403	0.01390	0.01924	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00423	0.00000	0.00000	0.00000	0.00000	0.00000	0.01063	0.00000	0.00000	0.00000	0.00000	0.00350	0.00658	0.00808	0.01726	0.00000	0.00423	0.01534	0.00863	0.00446	0.00393	0.00968	0.01248	0.40936	0.43429	0.00426	0.01156	0.12870	0.13189	0.00000	0.00000	0.00389	0.01549
comb-b	0.05926	0.06111	0.03036	0.01914	0.03772	0.02187	0.05052	0.02947	0.00000	0.00650	0.00332	0.00640	0.02365	0.02927	0.06345	0.05086	0.03997	0.03583	0.01659	0.01408	0.00000	0.00000	0.00000	0.00000	0.04888	0.04562	1.00000	0.90635	0.00000	0.00514	0.00525	0.01342	0.01289	0.02897	0.04129	0.04279	0.01011	0.01255	0.00000	0.00000	0.00000	0.00344	0.25244	0.29107	0.06170	0.07026	0.02564	0.00789	0.01498	0.03109	0.00000	0.02046	0.25974	0.24508	0.02109	0.01950	0.02989	0.04069	0.04171	0.03147	0.02346	0.00000	0.00000	0.00000	0.00000	0.00658	0.20496	0.27060	0.01121	0.00729	0.02100	0.00880	0.03782	0.01918	0.00000	0.00720	0.00000	0.00000	0.26376	0.26684	0.01129	0.00597	0.00000	0.00000	0.04693	0.07625	0.07576	0.10033	0.00000	0.00000	0.01216	0.02358	0.04367	0.06357	0.01789	0.02598	0.01854	0.02811	0.01624	0.01917	0.11120	0.16176	0.07116	0.07635	0.12464	0.18550	0.00000	0.01454	0.01632	0.02695	0.02014	0.02789	0.02482	0.04389	0.01693	0.02848	0.05836	0.08686	0.02258	0.02453	0.01825	0.03239	0.03307	0.05826	0.06785	0.07157	0.02588	0.03294	0.13616	0.15502	0.06285	0.05156	0.03667	0.03482	0.01485	0.01233	0.00000	0.00000	0.00000	0.00324
comb-s	0.10929	0.14865	0.08928	0.07109	0.04604	0.03958	0.06593	0.03974	0.02005	0.04167	0.02555	0.03008	0.04980	0.08375	0.12077	0.09334	0.06049	0.05501	0.07326	0.07041	0.01467	0.01460	0.03176	0.01970	0.06603	0.07018	0.90635	1.00000	0.02571	0.03591	0.00672	0.02295	0.10533	0.10669	0.03850	0.04631	0.01729	0.03618	0.05146	0.06004	0.07960	0.07744	0.33131	0.39486	0.18125	0.18848	0.05578	0.04972	0.02400	0.08412	0.00899	0.03278	0.35731	0.32654	0.04179	0.04394	0.05109	0.08333	0.09154	0.07432	0.03910	0.01898	0.01720	0.02525	0.02833	0.02906	0.23384	0.31583	0.06037	0.05086	0.02990	0.01719	0.05817	0.03980	0.01102	0.03077	0.02086	0.01086	0.34179	0.36902	0.03779	0.02382	0.01807	0.03231	0.10027	0.14583	0.09804	0.12829	0.05079	0.06070	0.00935	0.03627	0.03980	0.06659	0.04041	0.03331	0.01584	0.01201	0.02776	0.03481	0.11560	0.16871	0.06486	0.05643	0.12454	0.20463	0.04206	0.05671	0.00897	0.02391	0.02868	0.01925	0.04531	0.08830	0.00620	0.01461	0.06650	0.08215	0.01736	0.02016	0.03787	0.01816	0.02450	0.05834	0.13208	0.15223	0.02334	0.02598	0.16226	0.14969	0.08710	0.08929	0.08304	0.09705	0.05947	0.05903	0.01480	0.02830	0.06215	0.04202
crow-b	0.18146	0.12217	0.08430	0.11163	0.00000	0.00368	0.00526	0.00000	0.00000	0.01302	0.00713	0.00000	0.53042	0.47428	0.01100	0.01431	0.00000	0.01139	0.23997	0.24782	0.05217	0.05498	0.00000	0.00000	0.00000	0.00000	0.00000	0.02571	1.00000	0.79606	0.03002	0.01920	0.22011	0.20029	0.02148	0.04080	0.02894	0.08525	0.00000	0.02548	0.25169	0.22562	0.00000	0.00339	0.20548	0.20289	0.01001	0.02821	0.04820	0.00000	0.00000	0.09877	0.00959	0.00606	0.00000	0.00761	0.00000	0.00803	0.00814	0.02370	0.00671	0.02224	0.01599	0.00564	0.00000	0.00000	0.02311	0.00000	0.46355	0.52293	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00482	0.00485	0.00896	0.00376	0.02154	0.08828	0.65554	0.50790	0.02335	0.02078	0.00619	0.01079	0.57102	0.50889	0.00000	0.00000	0.00833	0.00000	0.01463	0.00000	0.00000	0.00000	0.01549	0.05484	0.00000	0.00000	0.00000	0.00000	0.00000	0.01895	0.01565	0.03511	0.06337	0.02965	0.06082	0.00000	0.00000	0.00000	0.00000	0.00000	0.00742	0.00000	0.09366	0.05128	0.02797	0.03909	0.00000	0.02735	0.12268	0.13537	0.01234	0.00000	0.00000	0.00000	0.00486	0.00388	0.00000	0.00000	0.19909	0.13645	0.01651	0.02010	0.34079	0.31690
crow-s	0.13886	0.10304	0.07737	0.08405	0.00549	0.02164	0.00375	0.00668	0.00463	0.02187	0.01524	0.01762	0.50113	0.47423	0.01960	0.02295	0.01019	0.03788	0.20391	0.23404	0.03062	0.02068	0.00505	0.01119	0.02652	0.03455	0.00514	0.03591	0.79606	1.00000	0.01070	0.00912	0.19546	0.18704	0.04018	0.08578	0.02062	0.06075	0.00501	0.02623	0.18389	0.21283	0.02340	0.01508	0.18968	0.20230	0.00000	0.01809	0.02290	0.00704	0.00643	0.17206	0.01623	0.01296	0.02053	0.02169	0.00000	0.01502	0.01739	0.02195	0.01794	0.04076	0.00000	0.00000	0.00483	0.00671	0.04941	0.00709	0.39207	0.55900	0.00357	0.00577	0.00000	0.00419	0.00438	0.01957	0.01974	0.00000	0.01277	0.02077	0.02686	0.07407	0.50580	0.49324	0.02080	0.03035	0.01765	0.00769	0.50410	0.55517	0.00496	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04397	0.00701	0.00000	0.00000	0.00000	0.00000	0.01737	0.00000	0.03058	0.04991	0.01902	0.04790	0.00000	0.00000	0.01398	0.00000	0.00000	0.00000	0.00000	0.02532	0.01250	0.00532	0.00413	0.00674	0.03062	0.12105	0.12890	0.00586	0.00517	0.00764	0.00000	0.01385	0.02559	0.00561	0.00000	0.17688	0.12155	0.00000	0.00000	0.30166	0.40651
democracy-b	0.06809	0.04154	0.04455	0.06658	0.00000	0.00401	0.00000	0.00408	0.05193	0.02636	0.01554	0.05589	0.02897	0.01985	0.02099	0.00780	0.01039	0.00414	0.00862	0.02416	0.03680	0.04328	0.05023	0.03423	0.00000	0.00000	0.00525	0.00672	0.03002	0.01070	1.00000	0.71872	0.02261	0.01075	0.00000	0.00000	0.13405	0.16873	0.04982	0.05863	0.02997	0.02325	0.00000	0.00000	0.00902	0.02841	0.02908	0.04613	0.07590	0.09156	0.00000	0.00000	0.00523	0.00000	0.00897	0.00829	0.00000	0.00656	0.02956	0.02583	0.06220	0.00000	0.03486	0.02150	0.02215	0.03079	0.00000	0.00482	0.05245	0.03787	0.00000	0.00000	0.00590	0.00427	0.00000	0.16842	0.06038	0.01850	0.00000	0.00410	0.01467	0.01862	0.04397	0.02579	0.01909	0.04982	0.01350	0.02588	0.03147	0.01801	0.02844	0.05516	0.00908	0.02558	0.04384	0.07366	0.01927	0.01461	0.02533	0.03363	0.01788	0.01356	0.01479	0.01287	0.00897	0.00590	0.05117	0.04819	0.02726	0.03717	0.06629	0.05687	0.02462	0.03137	0.00754	0.01777	0.02831	0.02167	0.05809	0.02942	0.09350	0.04103	0.00000	0.01136	0.04409	0.05952	0.08070	0.02766	0.02727	0.03139	0.00000	0.00000	0.01715	0.02068	0.01447	0.02308	0.01800	0.04225	0.03128	0.02022
democracy-s	0.12447	0.09380	0.07126	0.09204	0.00000	0.00000	0.00000	0.00000	0.07249	0.05707	0.02652	0.06811	0.03370	0.02709	0.06394	0.01774	0.00000	0.00706	0.01226	0.03185	0.00000	0.00000	0.12030	0.10951	0.00000	0.00000	0.01342	0.02295	0.01920	0.00912	0.71872	1.00000	0.07072	0.02202	0.00000	0.00000	0.20852	0.33792	0.15691	0.18558	0.02557	0.01983	0.00981	0.00472	0.06027	0.05798	0.14730	0.17445	0.29383	0.32390	0.00000	0.00340	0.02006	0.01127	0.02296	0.00472	0.00000	0.01680	0.05296	0.05509	0.08427	0.01477	0.06691	0.07861	0.08032	0.11964	0.00000	0.00617	0.04474	0.03231	0.00000	0.00000	0.00000	0.00000	0.02857	0.21709	0.08398	0.03382	0.00000	0.01574	0.02753	0.01589	0.02813	0.03065	0.04071	0.09176	0.05615	0.07526	0.02685	0.01536	0.07762	0.13644	0.02323	0.07365	0.14449	0.16809	0.05753	0.04487	0.08283	0.08446	0.04575	0.04859	0.04732	0.05902	0.01275	0.03399	0.14549	0.16443	0.05582	0.06342	0.12202	0.09417	0.06902	0.09243	0.02896	0.06441	0.07246	0.07395	0.06457	0.05270	0.12831	0.07270	0.02346	0.05933	0.12912	0.14386	0.13385	0.09437	0.08640	0.09641	0.00000	0.00541	0.04877	0.06175	0.02468	0.03281	0.05758	0.12816	0.02668	0.01725
dog-b	0.10556	0.13283	0.12657	0.13044	0.00000	0.03388	0.01056	0.01380	0.08482	0.09091	0.04455	0.04721	0.17636	0.27611	0.10313	0.06229	0.00000	0.02415	0.71421	0.67046	0.04726	0.03477	0.09018	0.06519	0.04153	0.03683	0.01289	0.10533	0.22011	0.19546	0.02261	0.07072	1.00000	0.79539	0.00000	0.00273	0.10656	0.17574	0.15065	0.17155	0.36395	0.37904	0.01492	0.01530	0.60757	0.55960	0.08485	0.14167	0.09862	0.12902	0.02217	0.04776	0.06099	0.02300	0.01653	0.03227	0.00000	0.02150	0.06356	0.10313	0.02023	0.08084	0.05140	0.07358	0.04763	0.06094	0.01354	0.00000	0.43602	0.37223	0.00000	0.00602	0.00000	0.00656	0.05556	0.11839	0.09191	0.07387	0.02399	0.02770	0.04146	0.10105	0.13843	0.11260	0.10554	0.10016	0.05391	0.04769	0.27386	0.22236	0.02795	0.09938	0.01673	0.04714	0.08079	0.07466	0.04735	0.04846	0.07779	0.13770	0.04392	0.02499	0.02726	0.02372	0.00000	0.08158	0.09848	0.18022	0.05024	0.13997	0.09644	0.07192	0.07131	0.05780	0.01853	0.03274	0.05963	0.03994	0.07569	0.05241	0.10238	0.06980	0.00422	0.07934	0.35294	0.38465	0.06609	0.05825	0.05504	0.05785	0.01790	0.03704	0.05619	0.05717	0.27283	0.22918	0.03317	0.05768	0.48278	0.34311
dog-s	0.05883	0.10216	0.13546	0.13824	0.00736	0.03376	0.01657	0.03706	0.01924	0.03679	0.01635	0.04462	0.17593	0.28388	0.06780	0.06358	0.02663	0.03864	0.77627	0.82524	0.03694	0.03414	0.01422	0.00540	0.04267	0.04009	0.02897	0.10669	0.20029	0.18704	0.01075	0.02202	0.79539	1.00000	0.00924	0.01637	0.05253	0.10288	0.02620	0.05356	0.41648	0.48255	0.03025	0.04269	0.54153	0.64824	0.02103	0.04852	0.02303	0.03116	0.01035	0.04299	0.05909	0.03359	0.01966	0.04508	0.01498	0.03164	0.02798	0.05434	0.00866	0.06011	0.00000	0.01696	0.00000	0.00540	0.01656	0.02600	0.43216	0.41530	0.00430	0.00876	0.01551	0.01236	0.02466	0.03149	0.02968	0.01042	0.05199	0.05983	0.03395	0.09795	0.13153	0.15648	0.06442	0.06610	0.02663	0.01361	0.29975	0.29172	0.00000	0.01740	0.00000	0.00000	0.00000	0.00000	0.00676	0.01229	0.01554	0.09039	0.00000	0.00000	0.00000	0.00000	0.00000	0.05510	0.00718	0.07156	0.01721	0.07904	0.01835	0.01407	0.01295	0.01575	0.00000	0.00000	0.00000	0.00000	0.04258	0.01625	0.03955	0.01162	0.00000	0.05897	0.24885	0.27455	0.01650	0.02909	0.00615	0.00000	0.02925	0.05230	0.04059	0.03331	0.25185	0.20633	0.00000	0.00000	0.47092	0.41340
eggplant-b	0.00000	0.02448	0.01594	0.01150	0.38175	0.20239	0.30642	0.23018	0.00000	0.00000	0.01668	0.03000	0.00000	0.00568	0.01287	0.01488	0.66431	0.52126	0.00000	0.00471	0.00000	0.00000	0.00000	0.00000	0.27975	0.19708	0.04129	0.03850	0.02148	0.04018	0.00000	0.00000	0.00000	0.00924	1.00000	0.85454	0.01129	0.00000	0.00000	0.00662	0.00495	0.00512	0.02561	0.04489	0.06777	0.06243	0.00000	0.00000	0.00000	0.01542	0.24767	0.23182	0.05983	0.10481	0.00856	0.03561	0.47063	0.52680	0.02538	0.00739	0.02356	0.01487	0.00000	0.00000	0.00000	0.00000	0.02253	0.04486	0.00500	0.02033	0.26355	0.18374	0.60339	0.54870	0.00000	0.00000	0.00564	0.02837	0.02795	0.05280	0.02730	0.00666	0.00000	0.00395	0.01821	0.02917	0.00000	0.00673	0.00000	0.01546	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00845	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01224	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00678	0.00000	0.00813	0.00000	0.00710	0.00000	0.00000	0.00000	0.00000	0.69368	0.60716	0.01227	0.02590	0.00621	0.04220	0.00000	0.00000	0.00560	0.02773
eggplant-s	0.00000	0.04584	0.02877	0.03058	0.32662	0.23231	0.25698	0.24820	0.00385	0.00882	0.02113	0.04884	0.00286	0.01295	0.02608	0.02969	0.62198	0.50636	0.00313	0.01791	0.01819	0.00000	0.00000	0.00000	0.23998	0.18125	0.04279	0.04631	0.04080	0.08578	0.00000	0.00000	0.00273	0.01637	0.85454	1.00000	0.01715	0.00000	0.00000	0.01007	0.01504	0.01459	0.03197	0.05116	0.07683	0.09046	0.00000	0.00000	0.00000	0.01757	0.22566	0.29919	0.08099	0.10839	0.04064	0.07442	0.44491	0.51925	0.03376	0.01124	0.03183	0.03013	0.00000	0.00000	0.00000	0.01302	0.04708	0.07866	0.01901	0.08443	0.24773	0.22382	0.50178	0.50171	0.00000	0.00000	0.01213	0.03305	0.03185	0.06018	0.03351	0.01688	0.00000	0.05910	0.02422	0.04864	0.01101	0.02750	0.00951	0.08715	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00583	0.00295	0.00000	0.00000	0.00000	0.00963	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01395	0.00000	0.00322	0.00000	0.00000	0.00000	0.00000	0.00000	0.01030	0.00000	0.00926	0.00000	0.00809	0.00000	0.00000	0.00424	0.00341	0.64303	0.58906	0.01399	0.04428	0.02045	0.05717	0.00000	0.00340	0.02126	0.10720
